plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Dipteryx odorata,deep (>>150 cm),medium (50-150 cm),22,30,16,34,"heavy, medium, light, organic","heavy, medium, light",2000,2500,1300,4000,moderate,low,-,-,10,10,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,light shade,clear skies,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),240,300
Dobera glabra,deep (>>150 cm),shallow (20-50 cm),20,35,15,45,"heavy, medium, light","heavy, medium, light",200,600,100,800,moderate,low,-,-,20,20,low (<4 dS/m),medium (4-10 dS/m),6,8,5.5,8.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,very bright,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",,365,365
Dodonaea viscosa,medium (50-150 cm),shallow (20-50 cm),18,38,7,45,"medium, light","medium, light",300,1200,125,1600,low,low,10,10,44,44,low (<4 dS/m),medium (4-10 dS/m),5.5,7.5,4.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",125,300
Dodonaea viscosa ssp. angustifolia,medium (50-150 cm),shallow (20-50 cm),18,38,7,45,"medium, light","medium, light",250,800,125,1000,low,low,23,23,38,38,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,5.5,8.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",125,300
Dolichos sericeus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Donaldsonia stenopetala,medium (50-150 cm),medium (50-150 cm),25,35,15,48,medium,"heavy, medium, light",500,1500,200,2800,moderate,low,1,1,7,7,low (<4 dS/m),low (<4 dS/m),6,8,5,9,well (dry spells),well (dry spells),clear skies,very bright,light shade,very bright,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",,0,0
Doryphora sassafras,deep (>>150 cm),medium (50-150 cm),18,28,8,34,"heavy, medium, light","heavy, medium, light",1200,1800,1000,2000,moderate,low,28,28,36,36,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Dovyalis caffra,deep (>>150 cm),medium (50-150 cm),20,28,10,35,"medium, light, organic","heavy, medium, light, wide, organic",900,1100,700,1300,high,moderate,20,5,45,45,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,210
Dovyalis hebecarpa,deep (>>150 cm),medium (50-150 cm),22,28,12,35,medium,medium,1100,1800,800,4000,high,moderate,-,-,25,25,low (<4 dS/m),low (<4 dS/m),6.5,7.5,5.8,8,well (dry spells),well (dry spells),clear skies,cloudy skies,very bright,light shade,tropical wet & dry (Aw),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,365
Drosera rotundifolia,,,-,-,-,-,organic,organic,-,-,-,-,,,45,43,65,68,,,5,6.5,4.5,7,poorly (saturated >50% of year),poorly (saturated >50% of year),,,,,"temperate oceanic (Do), polar (F)",,0,0
Dryopteris filix-mas,,,-,-,-,-,organic,"light, organic",-,-,-,-,,,40,37,65,70,,,-,-,-,-,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",light shade,light shade,heavy shade,cloudy skies,"temperate oceanic (Do), polar (F)",,0,0
Duboisia myoporoides,deep (>>150 cm),medium (50-150 cm),20,30,10,36,heavy,"heavy, medium, light",1000,2000,600,2500,moderate,moderate,-,-,25,25,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),270,330
Durio zibethinus,deep (>>150 cm),medium (50-150 cm),22,40,12,45,"medium, light","heavy, medium, light, organic",1500,2500,1200,3500,high,moderate,-,-,16,18,low (<4 dS/m),low (<4 dS/m),5,6.5,4.3,7.5,well (dry spells),well (dry spells),clear skies,cloudy skies,clear skies,light shade,tropical wet (Ar),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",270,365
Dysoxylum fraseranum,deep (>>150 cm),medium (50-150 cm),20,28,8,34,"heavy, medium","heavy, medium",1200,1500,1000,1700,high,moderate,28,28,33,33,low (<4 dS/m),low (<4 dS/m),5,7,4.5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Ecballium elaterium,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Echinacea purpurea,medium (50-150 cm),shallow (20-50 cm),18,24,10,36,"medium, organic","heavy, medium, light, wide, organic",400,800,300,1000,high,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6.5,7.5,5.5,8,well (dry spells),well (dry spells),clear skies,very bright,light shade,very bright,subtropical dry summer (Cs),neutral day (12-14 hours),0,0
Echinochloa colona,shallow (20-50 cm),shallow (20-50 cm),22,30,6,42,"heavy, medium","heavy, medium",500,1200,400,2000,moderate,moderate,-,-,20,60,low (<4 dS/m),medium (4-10 dS/m),5.5,6.5,5,7,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",45,180
Echinochloa crus-galli,shallow (20-50 cm),shallow (20-50 cm),17,30,2,40,heavy,"heavy, medium, light",700,1100,310,2500,high,moderate,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),6,7,4.8,8.2,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",short day (<12 hours),120,180
Echinochloa frumentacea,shallow (20-50 cm),shallow (20-50 cm),25,30,10,35,"medium, light","heavy, medium, light",500,750,450,1000,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.8,7.2,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), temperate continental (Dc)",short day (<12 hours),40,120
Echinochloa haploclada,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Echinochloa polystachya,medium (50-150 cm),medium (50-150 cm),22,28,14,32,heavy,"heavy, medium",1900,4000,1500,5000,high,low,-,-,30,32,,,5,7,4,8,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs)",,0,0
Echinochloa pyramidalis,deep (>>150 cm),medium (50-150 cm),22,28,18,32,heavy,"heavy, medium",1500,2100,1100,2700,moderate,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,7,5,9.2,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,160
Echinochloa scabra,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Echinochloa turneriana,shallow (20-50 cm),shallow (20-50 cm),22,30,15,35,heavy,"heavy, medium",300,375,250,2000,high,high,17,17,29,29,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)",short day (<12 hours),90,120
Echinochloa utilis,medium (50-150 cm),shallow (20-50 cm),15,25,10,35,medium,"heavy, medium, light",500,1000,450,1500,high,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,7,5.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry winter (Cw)",short day (<12 hours),40,100
Echium vulgare,,,-,-,-,-,,,-,-,-,-,,,40,36,55,63,,,-,-,-,-,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Ehrharta calycina,medium (50-150 cm),shallow (20-50 cm),12,16,8,20,light,light,350,450,300,600,moderate,low,25,25,35,35,low (<4 dS/m),medium (4-10 dS/m),6.5,7,6,7.5,excessive (dry/moderately dry),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,150
Ehrharta villosa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eichhornia crassipes,shallow (20-50 cm),shallow (20-50 cm),20,35,10,40,heavy,heavy,1000,3000,600,4000,high,low,-,-,38,38,low (<4 dS/m),low (<4 dS/m),6.7,7.3,5,8,poorly (saturated >50% of year),poorly (saturated >50% of year),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,365
Ekebergia capensis,deep (>>150 cm),deep (>>150 cm),18,26,12,38,light,"medium, light",900,2000,700,2500,moderate,moderate,-,-,20,35,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), subtropical humid (Cf)",,365,365
Elaeagnus angustifolia,medium (50-150 cm),shallow (20-50 cm),20,32,5,36,"medium, light","medium, light",350,500,250,600,low,low,30,20,44,44,low (<4 dS/m),high (>10 dS/m)),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Elaeis guineensis,deep (>>150 cm),medium (50-150 cm),20,35,12,38,"heavy, medium","heavy, medium, light",1500,3000,1000,8000,high,moderate,-,-,10,20,low (<4 dS/m),low (<4 dS/m),4.5,6,3.2,8,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",300,365
Elaeis oleifera,medium (50-150 cm),shallow (20-50 cm),20,30,14,34,"heavy, medium","heavy, medium, light",1400,2500,700,3500,high,moderate,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.3,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",240,330
Elaeocarpus grandis,deep (>>150 cm),medium (50-150 cm),18,28,8,38,"heavy, medium","heavy, medium",1500,3000,1000,3500,moderate,moderate,14,14,32,32,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,330
Eleocharis dulcis,shallow (20-50 cm),shallow (20-50 cm),23,29,15,34,heavy,heavy,1600,2000,1300,4000,high,,-,-,-,-,low (<4 dS/m),,6.9,7.3,6.5,7.6,poorly (saturated >50% of year),poorly (saturated >50% of year),very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",short day (<12 hours),200,240
Elephantorrhiza elephantina,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Elettaria cardamomum,shallow (20-50 cm),shallow (20-50 cm),22,30,10,35,"medium, organic","heavy, medium, light",3000,6000,1500,7000,moderate,low,5,-,15,25,low (<4 dS/m),low (<4 dS/m),5.5,6,4.8,7,well (dry spells),well (dry spells),light shade,cloudy skies,light shade,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs)",short day (<12 hours),240,365
Eleusine africana,medium (50-150 cm),shallow (20-50 cm),18,27,7,35,light,"heavy, medium, light",600,1100,200,4300,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",short day (<12 hours),55,150
Eleusine coracana ssp. coracana,medium (50-150 cm),shallow (20-50 cm),18,30,8,35,medium,"heavy, medium, light",500,1100,300,4300,moderate,low,-,-,20,35,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,8.2,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours)",75,180
Eleusine indica,medium (50-150 cm),shallow (20-50 cm),20,26,6,35,light,"medium, light",500,1200,450,4300,high,moderate,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),5.5,6.5,4.3,8.4,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",short day (<12 hours),120,150
Eleusine jaegeri,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Elymus canadensis,medium (50-150 cm),shallow (20-50 cm),10,22,2,27,light,"medium, light",500,1000,350,1280,moderate,low,40,40,60,60,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,8.2,"well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,180
Elymus cinereus,medium (50-150 cm),shallow (20-50 cm),10,18,2,22,light,"heavy, medium, light",400,600,300,1200,moderate,low,25,25,55,55,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,180
Elymus condensatus,medium (50-150 cm),medium (50-150 cm),18,22,2,18,"medium, light","heavy, medium, light",500,800,350,1200,moderate,low,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),70,180
Elymus glaucus,medium (50-150 cm),shallow (20-50 cm),9,15,2,19,"medium, light","heavy, medium, light",500,700,350,1200,low,low,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,7.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),70,150
Emblica officinalis,deep (>>150 cm),medium (50-150 cm),20,29,14,35,medium,"heavy, medium, light",1500,2500,700,4200,moderate,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,8,5,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Emilia sonchifolia,medium (50-150 cm),shallow (20-50 cm),20,30,10,40,"heavy, medium, light","heavy, medium, light",1000,2000,500,4000,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7,well (dry spells),,very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),90,365
Endiandra palmerstonii,deep (>>150 cm),medium (50-150 cm),22,28,10,34,medium,medium,1500,3000,1250,3800,high,moderate,16.5,16.5,18.1,18.1,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),300,365
Enneapogon scoparius,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Ensete ventricosum,medium (50-150 cm),shallow (20-50 cm),16,24,8,30,"medium, organic","heavy, medium, light, wide, organic",1100,1500,900,1700,high,moderate,5,-,20,30,low (<4 dS/m),low (<4 dS/m),5.6,7.3,5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),365,365
Entada abyssinica,deep (>>150 cm),medium (50-150 cm),20,28,15,35,medium,"medium, light",800,1500,500,2000,moderate,moderate,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5,7,4.5,7.5,well (dry spells),well (dry spells),cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",,365,365
Entada africana,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Enterolobium cyclocarpum,deep (>>150 cm),medium (50-150 cm),23,28,18,36,medium,"heavy, medium",750,2500,600,3000,high,moderate,-,-,20,25,low (<4 dS/m),low (<4 dS/m),4.5,8,4,8.5,well (dry spells),well (dry spells),very bright,very bright,clear skies,very bright,tropical wet & dry (Aw),,180,365
Enteropogon macrostachyus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Enteropogon somalensis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Entolasia imbricata,shallow (20-50 cm),shallow (20-50 cm),20,28,8,35,light,"heavy, medium, light",800,1200,700,1300,low,low,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6.5,6,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,tropical wet & dry (Aw),short day (<12 hours),60,180
Epilobium angustifolium,,,-,-,-,-,,,-,-,-,-,,,45,37,65,70,,,-,-,-,-,,,,,,,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), boreal (E)",,0,0
Equisetum arvense,medium (50-150 cm),shallow (20-50 cm),-,-,-,-,"medium, light, organic","wide, organic",-,-,-,-,,,40,35,70,73,,,-,-,-,-,poorly (saturated >50% of year),well (dry spells),,,,,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E), polar (F)",,0,0
Eragrostis amabilis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eragrostis caespitosa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eragrostis chloromelas,medium (50-150 cm),shallow (20-50 cm),17,25,6,31,medium,"medium, light",500,750,350,1200,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,7,5.5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,240
Eragrostis cilianensis,shallow (20-50 cm),shallow (20-50 cm),22,30,5,40,medium,"medium, light",600,700,250,900,moderate,low,-,-,45,45,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",45,90
Eragrostis curvula,medium (50-150 cm),shallow (20-50 cm),17,32,7,38,"medium, light","heavy, medium, light",500,1000,300,1200,moderate,low,-,-,40,40,low (<4 dS/m),medium (4-10 dS/m),6.5,8.5,5,9,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,280
Eragrostis lehmanniana,medium (50-150 cm),shallow (20-50 cm),17,25,7,31,"medium, light","heavy, medium, light",300,500,200,1200,low,low,20,15,35,40,low (<4 dS/m),low (<4 dS/m),7,8.5,6,9,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,280
Eragrostis obtusa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eragrostis pilosa,medium (50-150 cm),shallow (20-50 cm),18,30,5,36,"heavy, medium, light","heavy, medium, light",500,1300,200,2200,moderate,,-,-,-,-,low (<4 dS/m),low (<4 dS/m),4.5,5.5,4,6,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical dry winter (Cw), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,240
Eragrostis racemosa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eragrostis superba,shallow (20-50 cm),shallow (20-50 cm),22,28,10,35,light,"heavy, medium, light",500,900,450,1100,low,low,-,-,40,40,low (<4 dS/m),high (>10 dS/m)),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",short day (<12 hours),90,150
Eragrostis tef,shallow (20-50 cm),shallow (20-50 cm),22,28,2,30,"medium, light","heavy, medium, light",600,1200,300,2500,moderate,low,5,-,20,45,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,8.2,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",65,150
Eragrostis tremula,shallow (20-50 cm),shallow (20-50 cm),22,28,3,35,light,light,300,600,200,800,low,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",short day (<12 hours),65,100
Eragrostis trichodes,medium (50-150 cm),shallow (20-50 cm),16,24,7,31,"medium, light","medium, light",600,1000,350,1300,high,low,20,20,45,45,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",light shade,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),70,150
Eragrostis unioloides,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eremochloa ophiuroides,shallow (20-50 cm),shallow (20-50 cm),20,32,10,36,medium,medium,800,1200,600,1500,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7,well (dry spells),well (dry spells),cloudy skies,light shade,very bright,light shade,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)",short day (<12 hours),120,180
Erigeron canadensis,,,-,-,-,-,,,-,-,-,-,,,40,35,55,60,,,-,-,-,-,,,,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
